seed,mcs,species,volume,ncells,mel_site,mel_parcel
43,160,4,697,6,0.236819,0.238525
43,160,5,695,6,1.423472,1.422699
43,160,6,699,6,0.211260,0.210763
43,160,7,701,6,0.467932,0.469064
46,120,1,697,6,1.590887,1.589790
46,120,2,694,6,0.292680,0.291839
46,120,3,695,6,1.858522,1.855422
46,120,4,694,6,0.192796,0.192393
46,120,5,694,6,0.815126,0.812095
46,120,6,697,6,0.323066,0.324632
46,120,7,698,6,0.283881,0.284329
45,200,1,703,6,1.903267,1.899641
45,200,2,703,6,0.401637,0.401184
45,200,3,699,6,2.619859,2.617292
45,200,4,691,6,0.348371,0.346457
45,200,5,699,6,1.515493,1.512207
45,200,6,700,6,0.182734,0.182104
45,200,7,698,6,0.356163,0.354926
47,200,1,698,6,1.541139,1.540525
47,200,2,699,6,0.493512,0.492776
47,200,3,699,6,1.897826,1.897088
47,200,4,698,6,0.282485,0.281295
47,200,5,702,6,1.722344,1.719032
47,200,6,698,6,0.238907,0.238512
47,200,7,695,6,0.313753,0.313801
49,200,1,696,6,1.823604,1.821085
49,200,2,700,6,0.469044,0.467066
49,200,3,703,6,2.574268,2.574002
49,200,4,696,6,0.592729,0.590350
49,200,5,700,6,1.474819,1.473708
49,200,6,696,6,0.454271,0.452687
49,200,7,695,6,0.484167,0.481046
50,180,1,705,6,1.851448,1.850654
50,180,2,704,6,0.652460,0.650613
50,180,3,700,6,2.142016,2.136024
50,180,4,698,6,0.457093,0.451997
50,180,5,699,6,1.316796,1.314728
50,180,6,699,6,0.302182,0.302701
50,180,7,700,6,0.339852,0.338917
51,200,1,699,6,1.686070,1.684482
51,200,2,696,6,0.436145,0.434273
51,200,3,701,6,2.302663,2.302282
51,200,4,697,6,0.420704,0.418899
51,200,5,700,6,1.497924,1.492146
51,200,6,694,6,0.398031,0.396504
51,200,7,696,6,0.558867,0.557609
43,180,1,695,6,1.420258,1.419111
43,180,2,708,6,0.390873,0.390873
43,180,3,697,6,1.921080,1.920707
43,180,4,695,6,0.269789,0.271153
43,180,5,696,6,1.527234,1.527329
43,180,6,699,6,0.239966,0.239973
43,180,7,702,6,0.511287,0.513658
44,140,1,705,6,1.997316,1.996114
44,140,2,703,6,0.660813,0.660669
44,140,3,701,6,2.093427,2.092840
44,140,4,701,6,0.390901,0.389919
44,140,5,698,6,1.057497,1.056466
44,140,6,696,6,0.215447,0.215201
44,140,7,700,6,0.613820,0.612875
45,220,1,702,6,1.990469,1.987603
45,220,2,702,6,0.442891,0.442454
45,220,3,700,6,2.748526,2.745881
45,220,4,691,6,0.397787,0.395342
45,220,5,699,6,1.595527,1.592030
45,220,6,700,6,0.205720,0.205112
45,220,7,695,6,0.388260,0.387072
47,220,1,698,6,1.610358,1.609158
47,220,2,698,6,0.543572,0.542013
47,220,3,699,6,1.967887,1.965870
47,220,4,698,6,0.308858,0.308417
47,220,5,703,6,1.815499,1.811527
47,220,6,699,6,0.275098,0.274344
47,220,7,697,6,0.347587,0.347249
49,220,1,698,6,1.898929,1.897865
49,220,2,698,6,0.504220,0.502401
49,220,3,704,6,2.720160,2.718182
49,220,4,695,6,0.651521,0.649414
49,220,5,698,6,1.563975,1.563601
49,220,6,693,6,0.494415,0.494214
49,220,7,695,6,0.522633,0.520112
42,140,1,695,6,1.153517,1.153405
42,140,2,701,6,0.426469,0.426515
42,140,3,698,6,1.690433,1.689937
42,140,4,700,6,0.431459,0.432163
42,140,5,697,6,1.156475,1.154332
42,140,6,698,6,0.191107,0.190985
42,140,7,693,6,0.197096,0.196011
50,200,1,704,6,2.003324,2.001964
50,200,2,703,6,0.733022,0.730254
50,200,3,703,6,2.253640,2.250018
50,200,4,699,6,0.506097,0.502265
50,200,5,700,6,1.409525,1.407064
50,200,6,698,6,0.337961,0.337915
50,200,7,699,6,0.372673,0.371156
51,220,1,697,6,1.741664,1.739379
51,220,2,699,6,0.474175,0.472824
51,220,3,702,6,2.427298,2.424821
51,220,4,696,6,0.462700,0.461109
51,220,5,698,6,1.576272,1.571439
51,220,6,695,6,0.430060,0.428173
51,220,7,697,6,0.623225,0.620974
44,160,1,704,6,2.154926,2.153409
44,160,2,700,6,0.769446,0.768503
44,160,3,700,6,2.257423,2.256722
44,160,4,698,6,0.478430,0.477361
44,160,5,697,6,1.141391,1.140657
44,160,6,696,6,0.271766,0.271766
44,160,7,699,6,0.708668,0.707596
43,200,1,695,6,1.477419,1.476800
43,200,2,704,6,0.434842,0.434645
43,200,3,697,6,2.007547,2.005662
43,200,4,697,6,0.304375,0.305184
43,200,5,696,6,1.620163,1.620163
43,200,6,702,6,0.264258,0.263360
43,200,7,702,6,0.555255,0.558155
48,100,1,699,6,1.386955,1.383894
48,100,2,702,6,0.438262,0.436235
48,100,3,705,6,2.187296,2.184118
48,100,4,698,6,0.237631,0.235942
48,100,5,700,6,0.784792,0.784328
48,100,6,699,6,0.135891,0.136298
48,100,7,696,6,0.310574,0.309522
47,240,1,697,6,1.674506,1.673342
47,240,2,700,6,0.579038,0.577644
47,240,3,697,6,2.036356,2.033138
47,240,4,696,6,0.335582,0.333580
47,240,5,701,6,1.906105,1.902554
47,240,6,701,6,0.306761,0.306444
47,240,7,696,6,0.390068,0.390495
49,240,1,700,6,1.978058,1.975840
49,240,2,697,6,0.539271,0.538334
49,240,3,703,6,2.830969,2.829512
49,240,4,697,6,0.715274,0.713325
49,240,5,699,6,1.674539,1.670924
49,240,6,695,6,0.526231,0.524870
49,240,7,695,6,0.561980,0.558361
50,220,1,705,6,2.151277,2.149917
50,220,2,702,6,0.808071,0.804252
50,220,3,701,6,2.357800,2.353454
50,220,4,699,6,0.564673,0.560662
50,220,5,702,6,1.492186,1.490052
50,220,6,699,6,0.369864,0.368320
50,220,7,699,6,0.421741,0.418908
46,140,1,697,6,1.720587,1.720308
46,140,2,694,6,0.342810,0.342258
46,140,3,697,6,1.999263,1.996633
46,140,4,695,6,0.232711,0.231078
46,140,5,696,6,0.883688,0.881557
46,140,6,701,6,0.394847,0.396074
46,140,7,695,6,0.333527,0.332690
51,240,1,699,6,1.801558,1.798409
51,240,2,700,6,0.528024,0.525988
51,240,3,700,6,2.534335,2.532175
51,240,4,697,6,0.500753,0.498015
51,240,5,698,6,1.657016,1.649914
51,240,6,694,6,0.471201,0.468733
51,240,7,696,6,0.668938,0.665539
44,180,1,704,6,2.287987,2.287601
44,180,2,703,6,0.864252,0.864041
44,180,3,699,6,2.404320,2.402591
44,180,4,701,6,0.525450,0.524086
44,180,5,695,6,1.234087,1.233592
44,180,6,698,6,0.311222,0.311622
44,180,7,698,6,0.805377,0.805333
43,220,1,695,6,1.533882,1.532594
43,220,2,702,6,0.479974,0.480181
43,220,3,698,6,2.073934,2.072562
43,220,4,696,6,0.332087,0.332600
43,220,5,699,6,1.713279,1.714686
43,220,6,702,6,0.289178,0.288741
43,220,7,702,6,0.600279,0.603431
47,260,1,697,6,1.740810,1.739296
47,260,2,700,6,0.618963,0.618091
47,260,3,697,6,2.089468,2.087490
47,260,4,697,6,0.356442,0.355371
47,260,5,701,6,1.987947,1.982491
47,260,6,699,6,0.335937,0.335784
47,260,7,695,6,0.422063,0.422910
49,260,1,699,6,2.085744,2.081787
49,260,2,698,6,0.586677,0.585375
49,260,3,704,6,2.933644,2.932003
49,260,4,695,6,0.765267,0.761470
49,260,5,702,6,1.750848,1.748181
49,260,6,694,6,0.566833,0.565234
49,260,7,696,6,0.602148,0.599059
42,160,1,698,6,1.235401,1.235206
